project_code,size,incorporation_status,region,investment_budget,public_funding,nace_2_digits_code,nace_2_digits_description,sector_code,sector_description
p_20,Micro,Existing Business,Central Macedonia,823400.0,459925.0,31,Manufacture of furniture,C, Manufacturing
p_21,Micro,Existing Business,Central Greece,867332.0,520399.2,11,Manufacture of beverages,C, Manufacturing
p_22,Medium,Existing Business,Peloponnese,694927.51,308026.11,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_23,Micro,Existing Business,Attica,696629.6,314333.32,18,Printing and reproduction of recorded media,C, Manufacturing
p_23,Micro,Existing Business,Attica,696629.6,314333.32,18,Printing and reproduction of recorded media,C, Manufacturing
p_24,Small,Existing Business,Central Macedonia,651678.0,226986.25,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_25,Small,Existing Business,Crete,673755.0,334862.91,10,Manufacture of food products,C, Manufacturing
p_25,Small,Existing Business,Crete,673755.0,334862.91,10,Manufacture of food products,C, Manufacturing
p_26,Small,Existing Business,Thessaly,514920.0,257460.0,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C, Manufacturing
p_26,Small,Existing Business,Thessaly,514920.0,257460.0,22,Manufacture of rubber and plastic products,C, Manufacturing
p_26,Small,Existing Business,Thessaly,514920.0,257460.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_27,Medium,Existing Business,Central Macedonia,6000000.0,3600000.0,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_28,Small,Existing Business,Central Macedonia,1244508.4,684354.66,18,Printing and reproduction of recorded media,C, Manufacturing
p_28,Small,Existing Business,Central Macedonia,1244508.4,684354.66,22,Manufacture of rubber and plastic products,C, Manufacturing
p_29,Small,Existing Business,Western Greece,845336.46,422668.23,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_29,Small,Existing Business,Western Greece,845336.46,422668.23,31,Manufacture of furniture,C, Manufacturing
p_30,Small,Existing Business,Eastern Macedonia and Thrace,641140.48,355695.74,27,Manufacture of electrical equipment,C, Manufacturing
p_31,Micro,Existing Business,Eastern Macedonia and Thrace,624074.94,374194.96,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_32,Small,Existing Business,Central Greece,383800.0,230030.0,22,Manufacture of rubber and plastic products,C, Manufacturing
p_33,Micro,Existing Business,Western Greece,436900.0,262140.0,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_33,Micro,Existing Business,Western Greece,436900.0,262140.0,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_33,Micro,Existing Business,Western Greece,436900.0,262140.0,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_34,Small,Existing Business,Attica,306500.0,138750.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_34,Small,Existing Business,Attica,306500.0,138750.0,33,Repair and installation of machinery and equipment,C, Manufacturing
p_35,Medium,Existing Business,Central Macedonia,5721100.0,3432660.0,10,Manufacture of food products,C, Manufacturing
p_35,Medium,Existing Business,Central Macedonia,5721100.0,3432660.0,10,Manufacture of food products,C, Manufacturing
p_36,Small,Existing Business,Central Macedonia,620600.0,434420.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_36,Small,Existing Business,Central Macedonia,620600.0,434420.0,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_37,Micro,New Business,Attica,970297.5,437008.87,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_37,Micro,New Business,Attica,970297.5,437008.87,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_37,Micro,New Business,Attica,970297.5,437008.87,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_37,Micro,New Business,Attica,970297.5,437008.87,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_37,Micro,New Business,Attica,970297.5,437008.87,33,Repair and installation of machinery and equipment,C, Manufacturing
p_37,Micro,New Business,Attica,970297.5,437008.87,33,Repair and installation of machinery and equipment,C, Manufacturing
p_37,Micro,New Business,Attica,970297.5,437008.87,33,Repair and installation of machinery and equipment,C, Manufacturing
p_38,Small,Existing Business,Attica,776656.87,349495.58,22,Manufacture of rubber and plastic products,C, Manufacturing
p_39,Medium,Existing Business,Attica,5999675.98,1799902.79,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_39,Medium,Existing Business,Attica,5999675.98,1799902.79,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_40,Small,Existing Business,Central Macedonia,468109.5,280865.7,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_41,Small,Existing Business,Central Macedonia,316235.0,221364.5,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_42,Micro,Existing Business,Epirus,363770.0,232239.0,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C, Manufacturing
p_43,Small,Existing Business,Central Macedonia,1057475.0,686983.75,22,Manufacture of rubber and plastic products,C, Manufacturing
p_44,Micro,Existing Business,Thessaly,303604.45,192983.11,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_44,Micro,Existing Business,Thessaly,303604.45,192983.11,27,Manufacture of electrical equipment,C, Manufacturing
p_45,Medium,Existing Business,Central Macedonia,2745364.16,1363219.27,26,"Manufacture of computer, electronic and optical products",C, Manufacturing
p_46,Micro,Existing Business,Central Macedonia,300000.0,188570.38,11,Manufacture of beverages,C, Manufacturing
p_47,Micro,Existing Business,Central Macedonia,849640.0,526476.8,23,Manufacture of other non-metallic mineral products,C, Manufacturing
p_48,Small,Existing Business,Attica,446126.53,178450.61,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C, Manufacturing
p_49,Small,Existing Business,Central Macedonia,545215.48,327129.28,10,Manufacture of food products,C, Manufacturing
p_50,Small,Existing Business,Attica,447500.0,179000.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_51,Small,Existing Business,Thessaly,1501494.0,900896.4,31,Manufacture of furniture,C, Manufacturing
p_51,Small,Existing Business,Thessaly,1501494.0,900896.4,31,Manufacture of furniture,C, Manufacturing
p_52,Micro,Existing Business,Central Macedonia,262660.0,183862.0,10,Manufacture of food products,C, Manufacturing
p_53,Medium,Existing Business,Central Macedonia,1333166.4,590884.83,20,Manufacture of chemicals and chemical products,C, Manufacturing
p_53,Medium,Existing Business,Central Macedonia,1333166.4,590884.83,20,Manufacture of chemicals and chemical products,C, Manufacturing
p_53,Medium,Existing Business,Central Macedonia,1333166.4,590884.83,20,Manufacture of chemicals and chemical products,C, Manufacturing
p_53,Medium,Existing Business,Central Macedonia,1333166.4,590884.83,20,Manufacture of chemicals and chemical products,C, Manufacturing
p_54,Small,Existing Business,Attica,1791000.0,805949.98,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_54,Small,Existing Business,Attica,1791000.0,805949.98,33,Repair and installation of machinery and equipment,C, Manufacturing
p_54,Small,Existing Business,Attica,1791000.0,805949.98,33,Repair and installation of machinery and equipment,C, Manufacturing
p_55,Small,Existing Business,Central Macedonia,616480.0,386757.4,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_56,Medium,Existing Business,Central Macedonia,2191770.7,1048089.92,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C, Manufacturing
p_57,Small,Existing Business,Central Greece,2420000.0,1338000.0,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_57,Small,Existing Business,Central Greece,2420000.0,1338000.0,38,"Waste collection, treatment and disposal activities; materials recovery",E," Water supply, sewerage, waste management and remediation"
p_58,Small,Existing Business,Central Macedonia,1009500.0,605700.0,11,Manufacture of beverages,C, Manufacturing
p_58,Small,Existing Business,Central Macedonia,1009500.0,605700.0,11,Manufacture of beverages,C, Manufacturing
p_58,Small,Existing Business,Central Macedonia,1009500.0,605700.0,11,Manufacture of beverages,C, Manufacturing
p_58,Small,Existing Business,Central Macedonia,1009500.0,605700.0,11,Manufacture of beverages,C, Manufacturing
p_59,Micro,Existing Business,Central Macedonia,350200.0,244140.0,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_59,Micro,Existing Business,Central Macedonia,350200.0,244140.0,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_60,Small,Existing Business,Western Greece,469400.0,328080.0,10,Manufacture of food products,C, Manufacturing
p_61,Micro,Existing Business,Central Macedonia,273400.0,177349.99,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_62,Small,Existing Business,Eastern Macedonia and Thrace,1729536.98,1192880.51,31,Manufacture of furniture,C, Manufacturing
p_63,Small,Existing Business,Central Macedonia,912736.8,638415.74,29,"Manufacture of motor vehicles, trailers and semi-trailers",C, Manufacturing
p_64,Micro,Existing Business,Epirus,804050.0,482430.0,23,Manufacture of other non-metallic mineral products,C, Manufacturing
p_64,Micro,Existing Business,Epirus,804050.0,482430.0,23,Manufacture of other non-metallic mineral products,C, Manufacturing
p_64,Micro,Existing Business,Epirus,804050.0,482430.0,23,Manufacture of other non-metallic mineral products,C, Manufacturing
p_64,Micro,Existing Business,Epirus,804050.0,482430.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_65,Micro,Existing Business,Central Macedonia,738281.0,516296.7,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_66,Micro,Existing Business,Central Macedonia,565522.63,394865.84,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
